concept,feature,feature_raw,leuven_listed,flan_response,flan_true
Alligator,"in dutch expression: once bitten, twice shy","in_dutch_expression:_once_bitten,_twice_shy",0,True,1
Alligator,Indians or Afrikan,Indians_or_Afrikan,1,False,0
Alligator,inspiration for Batman,inspiration_for_Batman,0,False,0
Alligator,is a prototypical bird,is_a_prototypical_bird,0,False,0
Alligator,is a type of fly,is_a_type_of_fly,0,False,0
Alligator,is also referred to as eel,is_also_referred_to_as_eel,0,False,0
Alligator,is coloured,is_coloured,1,False,0
Alligator,is cute when it's young,is_cute_when_it's_young,0,False,0
Alligator,is difficult to remove from one's body,is_difficult_to_remove_from_one's_body,0,False,0
Alligator,is eaten as first-course,is_eaten_as_first-course,0,False,0
Alligator,is female,is_female,0,False,0
Alligator,is found in earth,is_found_in_earth,0,True,1
Alligator,is found on dogs and cats,is_found_on_dogs_and_cats,0,False,0
Alligator,is kept by a pigeon fancier,is_kept_by_a_pigeon_fancier,0,False,0
Alligator,is mostly grey brown,is_mostly_grey_brown,0,False,0
Alligator,is not a pet,is_not_a_pet,1,True,1
Alligator,is not poisonous,is_not_poisonous,1,False,0
Alligator,is popular and appreciated,is_popular_and_appreciated,1,False,0
Alligator,is seasonal,is_seasonal,0,False,0
Alligator,is served as rings from cephalopod,is_served_as_rings_from_cephalopod,0,False,0
Alligator,is short haired,is_short_haired,0,False,0
Alligator,is spectacular,is_spectacular,1,False,0
Alligator,is the main character in 'Flipper',is_the_main_character_in_'Flipper',0,False,0
Alligator,is unhygienic,is_unhygienic,0,False,0
Alligator,is used as food for reptiles,is_used_as_food_for_reptiles,0,False,0
Alligator,is used to make cod-liver oil,is_used_to_make_cod-liver_oil,0,False,0
Alligator,it is sometimes put in a basket,it_is_sometimes_put_in_a_basket,0,False,0
Alligator,kind of alligator,kind_of_alligator,0,False,0
Alligator,known laying in supplies for the winter,known_laying_in_supplies_for_the_winter,0,False,0
Alligator,lays frogspawn,lays_frogspawn,0,False,0
Alligator,leaves stains on one's skin,leaves_stains_on_one's_skin,0,False,0
Alligator,likes humidity,likes_humidity,1,True,1
Alligator,lives among human beings,lives_among_human_beings,0,False,0
Alligator,lives in a dolfinarium,lives_in_a_dolfinarium,0,False,0
Alligator,lives in distant countries,lives_in_distant_countries,1,False,0
Alligator,lives in dry areas,lives_in_dry_areas,0,False,0
Alligator,lives in Europe,lives_in_Europe,0,False,0
Alligator,long hair,long_hair,0,False,0
Alligator,looks clumsy,looks_clumsy,1,False,0
Alligator,looks like a frog,looks_like_a_frog,0,False,0
Alligator,looks like a mosquito,looks_like_a_mosquito,0,False,0
Alligator,looks like a snail,looks_like_a_snail,0,False,0
Alligator,loves wood,loves_wood,0,False,0
Alligator,makes ant hills in sand/earth,makes_ant_hills_in_sand/earth,0,False,0
Alligator,more used in agriculture in the past,more_used_in_agriculture_in_the_past,0,False,0
Alligator,mousetrap,mousetrap,0,False,0
Alligator,often used as guard,often_used_as_guard,0,False,0
Alligator,opens its tail when it is scared,opens_its_tail_when_it_is_scared,0,False,0
Alligator,related to wasp,related_to_wasp,0,False,0
Alligator,skilful person,skilful_person,0,False,0
Alligator,slaughtered as sacrifice,slaughtered_as_sacrifice,0,False,0
Alligator,small ears,small_ears,1,False,0
Alligator,smaller than a horse,smaller_than_a_horse,1,False,0
Alligator,sometimes stands on one paw,sometimes_stands_on_one_paw,0,True,1
Alligator,timid animal,timid_animal,0,False,0
Alligator,uses pollen from flowers,uses_pollen_from_flowers,0,False,0
Alligator,vomits pellets,vomits_pellets,0,False,0
Alligator,wags,wags,0,False,0
Alligator,always lands on its paws,always_lands_on_its_paws,0,False,0
Alligator,as the saying goes a snake in the grass,as_the_saying_goes_a_snake_in_the_grass,0,False,0
Alligator,assosciated with wisdom,assosciated_with_wisdom,0,False,0
Alligator,bleats,bleats,0,False,0
Alligator,breaths under water,breaths_under_water,0,True,1
Alligator,can be disadvantageous to harvest,can_be_disadvantageous_to_harvest,0,True,1
Alligator,can be seen on safaris,can_be_seen_on_safaris,1,True,1
Alligator,can be used in a salad,can_be_used_in_a_salad,0,False,0
Alligator,can do without water for long periods,can_do_without_water_for_long_periods,1,False,0
Alligator,can kill people,can_kill_people,1,True,1
Alligator,can sing beautifully,can_sing_beautifully,0,False,0
Alligator,can store food in its bill,can_store_food_in_its_bill,0,False,0
Alligator,can turn his head very far,can_turn_his_head_very_far,0,True,1
Alligator,descend from the dinosaur,descend_from_the_dinosaur,1,True,1
Alligator,doesn't have 1000 paws,doesn't_have_1000_paws,1,True,1
Alligator,earths,earths,0,False,0
Alligator,eats frogs,eats_frogs,1,True,1
Alligator,eats from flowers,eats_from_flowers,0,False,0
Alligator,eats plant lice,eats_plant_lice,0,False,0
Alligator,eats seals,eats_seals,0,False,0
Alligator,especially lives in the country,especially_lives_in_the_country,0,False,0
Alligator,floats on water,floats_on_water,1,False,0
Alligator,goes from flower to flower,goes_from_flower_to_flower,0,False,0
Alligator,goes slowely,goes_slowely,1,False,0
Alligator,grazes,grazes,0,True,1
Alligator,has a bill with a crop,has_a_bill_with_a_crop,0,False,0
Alligator,has a head,has_a_head,1,True,1
Alligator,has a hump to store water,has_a_hump_to_store_water,0,False,0
Alligator,has a mouth,has_a_mouth,1,True,1
Alligator,has a small bill,has_a_small_bill,0,False,0
Alligator,has hierarchy,has_hierarchy,0,False,0
Alligator,has large front teeth,has_large_front_teeth,0,True,1
Alligator,has little eyes,has_little_eyes,0,False,0
Alligator,has rings,has_rings,0,False,0
Alligator,has several gaits ao gallop,has_several_gaits_ao_gallop,0,False,0
Alligator,has warts,has_warts,0,False,0
Alligator,is beige,is_beige,0,False,0
Alligator,is blue,is_blue,0,False,0
Alligator,is cause for arachnophobia,is_cause_for_arachnophobia,0,False,0
Alligator,is collected,is_collected,0,False,0
Alligator,is eaten (with plums),is_eaten_(with_plums),0,False,0
Alligator,is eaten with tomato sauce,is_eaten_with_tomato_sauce,0,False,0
Alligator,is found all around the world,is_found_all_around_the_world,0,True,1
Alligator,is found in clothing,is_found_in_clothing,0,False,0
Alligator,is found mainly in southern countries,is_found_mainly_in_southern_countries,1,True,1
Alligator,is good for soil,is_good_for_soil,0,False,0
Alligator,is large and fat,is_large_and_fat,0,True,1
Alligator,is medium-sized,is_medium-sized,1,False,0
Alligator,is not expensive,is_not_expensive,0,False,0
Alligator,is not good at flying,is_not_good_at_flying,0,True,1
Alligator,is pickled,is_pickled,0,False,0
Alligator,is sandy-coloured,is_sandy-coloured,0,False,0
Alligator,is slaughtered,is_slaughtered,0,False,0
Alligator,is the female of the cock,is_the_female_of_the_cock,0,False,0
Alligator,is the main character in 'Jaws',is_the_main_character_in_'Jaws',0,False,0
Alligator,is used in fights,is_used_in_fights,0,False,0
Alligator,kind of frog,kind_of_frog,0,False,0
Alligator,lives in the primaeval forest,lives_in_the_primaeval_forest,1,False,0
Alligator,"long hind legs, short forelegs","long_hind_legs,_short_forelegs",0,True,1
Alligator,looks like a salamander,looks_like_a_salamander,0,False,0
Alligator,neighs,neighs,0,False,0
Alligator,neutral scent,neutral_scent,1,False,0
Alligator,not friendly with dogs,not_friendly_with_dogs,0,True,1
Alligator,often sits under a piece of wood,often_sits_under_a_piece_of_wood,0,False,0
Alligator,pig nose,pig_nose,0,False,0
Alligator,resembles cows,resembles_cows,0,False,0
Alligator,resembles humans,resembles_humans,0,False,0
Alligator,rises early,rises_early,0,False,0
Alligator,rough,rough,1,True,1
Alligator,short front legs,short_front_legs,1,True,1
Alligator,sits on threads of electricity,sits_on_threads_of_electricity,0,False,0
Alligator,sleeps on a stick,sleeps_on_a_stick,0,False,0
Alligator,soup is made of it,soup_is_made_of_it,0,False,0
Alligator,term of abuse (in dutch),term_of_abuse_(in_dutch),0,False,0
Alligator,was used in medical science in earlier times,was_used_in_medical_science_in_earlier_times,0,True,1
Alligator,when small piglet,when_small_piglet,0,False,0
Alligator,appears in the tv-programme Skippy,appears_in_the_tv-programme_Skippy,0,False,0
Alligator,associated with vampires,associated_with_vampires,0,False,0
Alligator,attacks,attacks,1,True,1
Alligator,attic,attic,0,False,0
Alligator,can be killed with a fly swatter,can_be_killed_with_a_fly_swatter,0,False,0
Alligator,carries iets child in a pouch,carries_iets_child_in_a_pouch,0,False,0
Alligator,cattle-like animal,cattle-like_animal,0,False,0
Alligator,digs holes,digs_holes,1,True,1
Alligator,eats bananas,eats_bananas,0,False,0
Alligator,eats everything,eats_everything,0,False,0
Alligator,eats fruit,eats_fruit,0,False,0
Alligator,especially occurs in the winter,especially_occurs_in_the_winter,0,False,0
Alligator,gabbles,gabbles,0,False,0
Alligator,gnaws on everything,gnaws_on_everything,0,False,0
Alligator,hard,hard,1,False,0
Alligator,has a pungent smell,has_a_pungent_smell,0,False,0
Alligator,has a tongue,has_a_tongue,1,True,1
Alligator,has an eye on its feathers,has_an_eye_on_its_feathers,0,False,0
Alligator,has big claws,has_big_claws_,1,False,0
Alligator,has black eyes,has_black_eyes,1,True,1
Alligator,has many teeth,has_many_teeth,1,True,1
Alligator,has pointy ears,has_pointy_ears,0,False,0
Alligator,has round eyes,has_round_eyes,1,False,0
Alligator,has several stomachs,has_several_stomachs,0,False,0
Alligator,has sharp claws,has_sharp_claws,1,True,1
Alligator,has suckers,has_suckers,0,False,0
Alligator,has tentacles,has_tentacles,0,False,0
Alligator,hatches out other eggs,hatches_out_other_eggs,0,False,0
Alligator,hunts chicken,hunts_chicken,1,True,1
Alligator,is a delicacy,is_a_delicacy,0,False,0
Alligator,is an articulate animal,is_an_articulate_animal,0,False,0
Alligator,is attracted by shiny objects,is_attracted_by_shiny_objects,0,False,0
Alligator,is baked,is_baked,0,False,0
Alligator,is difficult to catch,is_difficult_to_catch,1,True,1
Alligator,is greasy,is_greasy,0,False,0
Alligator,is healthy,is_healthy,0,False,0
Alligator,is light,is_light,0,False,0
Alligator,is lithe,is_lithe,0,False,0
Alligator,is not verry big,is_not_verry_big,0,False,0
Alligator,is often found on dogs,is_often_found_on_dogs,0,False,0
Alligator,is sold at the market,is_sold_at_the_market,0,False,0
Alligator,jumps in the water,jumps_in_the_water,0,False,0
Alligator,laong teeth,laong_teeth,1,True,1
Alligator,leading figures in Jurassic Parc,leading_figures_in_Jurassic_Parc,0,False,0
Alligator,lies motionless in the water,lies_motionless_in_the_water,1,False,0
Alligator,lives in nests,lives_in_nests,0,False,0
Alligator,lives on the ground,lives_on_the_ground,1,False,0
Alligator,lives on the steppe,lives_on_the_steppe,1,False,0
Alligator,male cow = bull,male_cow_=_bull,0,False,0
Alligator,miaows,miaows,0,False,0
Alligator,often used as laboratory animal,often_used_as_laboratory_animal,0,False,0
Alligator,resembles a worm,resembles_a_worm,0,False,0
Alligator,shot for its skin,shot_for_its_skin,1,False,0
Alligator,skeletons in museum,skeletons_in_museum,0,False,0
Alligator,sometimes lives in church towers,sometimes_lives_in_church_towers_,0,False,0
Alligator,spring,spring,0,False,0
Alligator,swims upstream to lay eggs,swims_upstream_to_lay_eggs,0,False,0
Alligator,swings from tree to tree,swings_from_tree_to_tree,0,False,0
Alligator,tands in the crib (xmass),tands_in_the_crib_(xmass),0,False,0
Alligator,used as a draught animal,used_as_a_draught_animal,0,False,0
Alligator,used to carry around mail,used_to_carry_around_mail,0,False,0
Alligator,usually has one young at a time,usually_has_one_young_at_a_time,0,True,1
Alligator,wild animal,wild_animal,1,True,1
Alligator,you can boil it,you_can_boil_it,1,False,0
Alligator,zebra crossing (pedestrian-),zebra_crossing_(pedestrian-),0,False,0
Alligator,in the morning,_in_the_morning,0,False,0
Alligator,also lives in the city,also_lives_in_the_city,0,False,0
Alligator,blows up its cheeks,blows_up_its_cheeks,1,False,0
Alligator,brays,brays,0,True,1
Alligator,can also refer to a tent stake,can_also_refer_to_a_tent_stake,0,False,0
Alligator,can be a greeting,can_be_a_greeting,0,False,0
Alligator,can be cured,can_be_cured,0,False,0
Alligator,can climb up a wall,can_climb_up_a_wall,0,False,0
Alligator,clucks on trees,clucks_on_trees,0,False,0
Alligator,comes up to the surface for air,comes_up_to_the_surface_for_air,1,True,1
Alligator,does not lay eggs,does_not_lay_eggs,0,False,0
Alligator,eats acorns,eats_acorns,0,False,0
Alligator,eats chicken,eats_chicken,1,False,0
Alligator,eats people,eats_people,1,False,0
Alligator,especially lives at the coast,especially_lives_at_the_coast,0,False,0
Alligator,family of the camel,family_of_the_camel,0,False,0
Alligator,flat tail,flat_tail,0,False,0
Alligator,fragile,fragile,1,False,0
Alligator,has beady eyes,has_beady_eyes,0,True,1
Alligator,has poison fangs,has_poison_fangs,0,False,0
Alligator,is a kind of bear,is_a_kind_of_bear,0,False,0
Alligator,is aggressive,is_aggressive,1,True,1
Alligator,is bluish grey,is_bluish_grey,0,False,0
Alligator,is eaten on Thanksgiving,is_eaten_on_Thanksgiving,0,False,0
Alligator,is first a tadpole,is_first_a_tadpole,0,True,1
Alligator,is friendly,is_friendly,0,False,0
Alligator,is good for the environment,is_good_for_the_environment,0,False,0
Alligator,is hermaphrodite,is_hermaphrodite,0,False,0
Alligator,is used in the saying 'packed like sardines in a tin',is_used_in_the_saying_'packed_like_sardines_in_a_tin',0,False,0
Alligator,is white/brown,is_white/brown,0,False,0
Alligator,likes to eat carrots,likes_to_eat_carrots,0,False,0
Alligator,lives in families,lives_in_families,1,False,0
Alligator,lives in the open air,lives_in_the_open_air,1,True,1
Alligator,lives outdoors,lives_outdoors,1,True,1
Alligator,looks like a crocodile,looks_like_a_crocodile,1,True,1
Alligator,lots of hair,lots_of_hair,0,False,0
Alligator,mothballs as a remedy,mothballs_as_a_remedy,0,False,0
Alligator,moves by contracting,moves_by_contracting,0,False,0
Alligator,pecks,pecks,0,False,0
Alligator,runs in a mill,runs_in_a_mill,0,False,0
Alligator,savanne,savanne,1,True,1
Alligator,sits on fruit,sits_on_fruit,0,False,0
Alligator,small cows are calfs,small_cows_are_calfs,0,False,0
Alligator,smells blood,smells_blood,1,True,1
Alligator,some people are allergic to it,some_people_are_allergic_to_it,0,True,1
Alligator,the boss among the chickens,the_boss_among_the_chickens,0,False,0
Alligator,the legs are eaten,the_legs_are_eaten,0,False,0
Alligator,cackles,cackles,0,False,0
Alligator,can be found in the ardennes,can_be_found_in_the_ardennes,0,False,0
Alligator,chews the cud,chews_the_cud,0,False,0
Alligator,climbs in trees,climbs_in_trees,0,False,0
Alligator,comes to the surface when it rains,comes_to_the_surface_when_it_rains,0,False,0
Alligator,eats cheese,eats_cheese,0,False,0
Alligator,flies high,flies_high,0,False,0
Alligator,has a large tail,has_a_large_tail,1,False,0
Alligator,has a long nose in the shape of a sword,has_a_long_nose_in_the_shape_of_a_sword,1,False,0
Alligator,has a small head,has_a_small_head,0,False,0
Alligator,has ribs,has_ribs,0,True,1
Alligator,indians hunted it,indians_hunted_it,0,True,1
Alligator,is a type of beetle,is_a_type_of_beetle,0,False,0
Alligator,is an exotic animal,is_an_exotic_animal,1,True,1
Alligator,is athrodopal,is_athrodopal,0,False,0
Alligator,is eaten on festive dinners,is_eaten_on_festive_dinners,0,False,0
Alligator,is expensive,is_expensive,0,False,0
Alligator,is food for larger animals,is_food_for_larger_animals,0,False,0
Alligator,is found in warm places,is_found_in_warm_places,1,True,1
Alligator,is often released after a wedding,is_often_released_after_a_wedding,0,False,0
Alligator,is parasite,is_parasite,0,False,0
Alligator,is red or black,is_red_or_black,0,False,0
Alligator,is scary,is_scary,0,True,1
Alligator,is tinned in oil,is_tinned_in_oil,0,False,0
Alligator,is very active,is_very_active,0,False,0
Alligator,lays eggs in sand,lays_eggs_in_sand,0,False,0
Alligator,lies on the sea-floor,lies_on_the_sea-floor,0,False,0
Alligator,lives in a swamp,lives_in_a_swamp,1,True,1
Alligator,makes a recognizable sound,makes_a_recognizable_sound,0,False,0
Alligator,makes a 'tok tok' sound,makes_a_'tok_tok'_sound,0,False,0
Alligator,protected species,protected_species,0,True,1
Alligator,seems mean,seems_mean,1,True,1
Alligator,stands in the stable,stands_in_the_stable,0,False,0
Alligator,takes good care of her children,takes_good_care_of_her_children,0,False,0
Alligator,the female is brown,the_female_is_brown,0,False,0
Alligator,typical ennemy of a cat,typical_ennemy_of_a_cat,0,True,1
Alligator,used in research,used_in_research,0,True,1
Alligator,wings run,wings_run,0,False,0
Alligator,becomes a butterfly,becomes_a_butterfly,0,False,0
Alligator,carries over diseases,carries_over_diseases,0,False,0
Alligator,chirps,chirps,0,False,0
Alligator,drinks water,drinks_water,1,True,1
Alligator,eats flies,eats_flies,0,True,1
Alligator,eats nectar,eats_nectar,0,False,0
Alligator,has a hooked bill,has_a_hooked_bill,0,True,1
Alligator,has a pointed snout,has_a_pointed_snout,1,False,0
Alligator,has a rough skin,has_a_rough_skin,1,True,1
Alligator,has a woollen fur,has_a_woollen_fur,0,False,0
Alligator,has bright colours,has_bright_colours,0,False,0
Alligator,has two ears,has_two_ears,1,False,0
Alligator,has young = cubs,has_young_=_cubs,0,True,1
Alligator,howls,howls,0,False,0
Alligator,is eaten by other animals,is_eaten_by_other_animals,1,False,0
Alligator,is found in Belgium,is_found_in_Belgium,1,False,0
Alligator,is found on animals,is_found_on_animals,1,False,0
Alligator,is served in a restaurant,is_served_in_a_restaurant,0,False,0
Alligator,large nostrils,large_nostrils,0,True,1
Alligator,lays eggs in the nests of other birds,lays_eggs_in_the_nests_of_other_birds,0,False,0
Alligator,lazy,lazy,1,False,0
Alligator,lives in a chicken coop,lives_in_a_chicken_coop,0,False,0
Alligator,lives in a hive,lives_in_a_hive,0,False,0
Alligator,lives in the North Sea,lives_in_the_North_Sea,0,False,0
Alligator,lives in the polar regions,lives_in_the_polar_regions,0,False,0
Alligator,lives nearby ponds,lives_nearby_ponds,0,True,1
Alligator,looks like a lizard,looks_like_a_lizard,0,False,0
Alligator,looks like a snake,looks_like_a_snake,0,False,0
Alligator,moos,moos,0,False,0
Alligator,produces blub-sound,produces_blub-sound,0,False,0
Alligator,raised by bee-keeper,raised_by_bee-keeper,0,False,0
Alligator,resembles camels,resembles_camels,0,False,0
Alligator,says heehaw,says_heehaw,0,False,0
Alligator,swallows its prey in its entirety,swallows_its_prey_in_its_entirety,1,True,1
Alligator,waddles,waddles,0,False,0
Alligator,can become pest,can_become_pest,0,True,1
Alligator,can loose its tail,can_loose_its_tail,0,True,1
Alligator,catches mice,catches_mice,1,True,1
Alligator,difficult to exterminate,difficult_to_exterminate,0,True,1
Alligator,doesn't sting,doesn't_sting,1,False,0
Alligator,extracts nectar from flowers,extracts_nectar_from_flowers,0,False,0
Alligator,has a beautiful tail,has_a_beautiful_tail,0,False,0
Alligator,has a red dewlap,has_a_red_dewlap,0,False,0
Alligator,has a yellow bill,has_a_yellow_bill,0,False,0
Alligator,has eight arms,has_eight_arms,0,False,0
Alligator,hides easily,hides_easily,1,False,0
Alligator,intelligent,intelligent,0,False,0
Alligator,is a type of whale,is_a_type_of_whale,0,False,0
Alligator,is afraid of people,is_afraid_of_people,0,False,0
Alligator,is good at diving,is_good_at_diving,0,False,0
Alligator,"is grey, black and white","is_grey,_black_and_white",0,False,0
Alligator,leaves stings,leaves_stings,0,False,0
Alligator,often sits in parks,often_sits_in_parks,0,False,0
Alligator,often sits still,often_sits_still,1,False,0
Alligator,prey,prey,1,True,1
Alligator,produces nits,produces_nits,0,False,0
Alligator,stubborn,stubborn,0,True,1
Alligator,swims in rivers,swims_in_rivers,1,True,1
Alligator,the male occurs in different colours,the_male_occurs_in_different_colours,0,False,0
Alligator,wakes up,wakes_up,0,True,1
Alligator,can be caught,can_be_caught,1,True,1
Alligator,can be filled up,can_be_filled_up,0,False,0
Alligator,can be won at a fair,can_be_won_at_a_fair,0,False,0
Alligator,can cause much hinder,can_cause_much_hinder,1,True,1
Alligator,can purr,can_purr,0,False,0
Alligator,exists for ages,exists_for_ages,1,True,1
Alligator,family of the horse,family_of_the_horse,0,False,0
Alligator,has an airhole,has_an_airhole,0,False,0
Alligator,has an udder,has_an_udder,0,False,0
Alligator,is a carnivore and herbivore,is_a_carnivore_and_herbivore,0,False,0
Alligator,is a male chicken,is_a_male_chicken,0,False,0
Alligator,is bigger than a chicken,is_bigger_than_a_chicken,1,True,1
Alligator,is lethal,is_lethal,1,False,0
Alligator,is round,is_round,0,False,0
Alligator,is silvery,is_silvery,0,False,0
Alligator,is used on pizza's,is_used_on_pizza's,0,False,0
Alligator,lives in caves,lives_in_caves,0,False,0
Alligator,lives in the dark,lives_in_the_dark,0,False,0
Alligator,lives in tropical waters,lives_in_tropical_waters,0,True,1
Alligator,lives on the north pole,lives_on_the_north_pole,0,False,0
Alligator,loyal,loyal,0,False,0
Alligator,prehistoric animal,prehistoric_animal,0,False,0
Alligator,roar,roar,0,True,1
Alligator,appears in songs,appears_in_songs,0,True,1
Alligator,builds dams,builds_dams,0,False,0
Alligator,can be trained,can_be_trained,0,False,0
Alligator,can climb well,can_climb_well,0,False,0
Alligator,can see in the dark,can_see_in_the_dark,1,False,0
Alligator,crows,crows,0,False,0
Alligator,doesn't live on land,doesn't_live_on_land,0,False,0
Alligator,eats nuts,eats_nuts,0,False,0
Alligator,gets lambs,gets_lambs,0,False,0
Alligator,has camouflage,has_camouflage,1,True,1
Alligator,has long hind legs,has_long_hind_legs,0,False,0
Alligator,is found in advertising or as brand,is_found_in_advertising_or_as_brand_,0,True,1
Alligator,is not eaten,is_not_eaten,1,False,0
Alligator,is vermin,is_vermin,0,False,0
Alligator,is yellow with brown spots,is_yellow_with_brown_spots,0,False,0
Alligator,live in the mountains,live_in_the_mountains,0,False,0
Alligator,lives in America,lives_in_America,1,False,0
Alligator,lives in unhygienic places,lives_in_unhygienic_places,0,True,1
Alligator,makes a strange noise,makes_a_strange_noise,0,True,1
Alligator,makes an 'oehoe' sound,makes_an_'oehoe'_sound,0,False,0
Alligator,makes holes in trees,makes_holes_in_trees,0,False,0
Alligator,striped,striped,0,False,0
Alligator,comes out of a cocoon,comes_out_of_a_cocoon,0,False,0
Alligator,communicates with its congeners,communicates_with_its_congeners,1,False,0
Alligator,cumbersome,cumbersome,1,False,0
Alligator,family of the dog,family_of_the_dog,0,False,0
Alligator,flutters,flutters,0,False,0
Alligator,has a horn,has_a_horn,0,False,0
Alligator,has a small tail,has_a_small_tail,0,False,0
Alligator,has beautiful feathers,has_beautiful_feathers,0,False,0
Alligator,has horns,has_horns,0,False,0
Alligator,has two wings,has_two_wings,0,False,0
Alligator,is a girl's name,is_a_girl's_name,0,False,0
Alligator,is a symbol for peace,is_a_symbol_for_peace,0,False,0
Alligator,is dumb,is_dumb,0,False,0
Alligator,"is grey, brown or white","is_grey,_brown_or_white",1,False,0
Alligator,is initially a caterpillar,is_initially_a_caterpillar_,0,False,0
Alligator,is killed by man,is_killed_by_man,0,True,1
Alligator,is messy,is_messy,0,False,0
Alligator,is often found under rocks,is_often_found_under_rocks,0,False,0
Alligator,is smart,is_smart,0,False,0
Alligator,lives in fields,lives_in_fields,0,False,0
Alligator,turns in its shell in danger,turns_in_its_shell_in_danger,0,False,0
Alligator,writhes (twists),writhes_(twists),1,True,1
Alligator,beautiful colours,beautiful_colours,0,False,0
Alligator,big ears,big_ears,0,False,0
Alligator,bleats.1,bleats.1,0,False,0
Alligator,can be cooked in different ways,can_be_cooked_in_different_ways,0,True,1
Alligator,can be dangerous,can_be_dangerous,1,True,1
Alligator,compound eyes,compound_eyes,0,True,1
Alligator,creaks when killed,creaks_when_killed,0,True,1
Alligator,curly tail,curly_tail,0,False,0
Alligator,glides,glides,0,False,0
Alligator,has a fin on its back,has_a_fin_on_its_back,0,False,0
Alligator,has a sharp view,has_a_sharp_view,0,False,0
Alligator,has peepers,has_peepers,0,False,0
Alligator,has queen,has_queen,0,False,0
Alligator,is a type of bee,is_a_type_of_bee,0,False,0
Alligator,is a type of butterfly,is_a_type_of_butterfly,0,False,0
Alligator,is also a sharp,is_also_a_sharp,0,False,0
Alligator,is found in the garden,is_found_in_the_garden,0,False,0
Alligator,kind of crocodile,kind_of_crocodile,1,True,1
Alligator,kind of lizard,kind_of_lizard,0,False,0
Alligator,occasionally washes ashore,occasionally_washes_ashore,0,True,1
Alligator,skin can be used for clothes,skin_can_be_used_for_clothes,1,True,1
Alligator,somtimes used in a circus,somtimes_used_in_a_circus,0,True,1
Alligator,squirts water through an airhole,squirts_water_through_an_airhole,0,False,0
Alligator,sticks its head into the ground,sticks_its_head_into_the_ground,0,False,0
Alligator,tickles,tickles,0,False,0
Alligator,can be found in a fish shop,can_be_found_in_a_fish_shop,0,False,0
Alligator,eats leaves from trees,eats_leaves_from_trees,0,False,0
Alligator,eats rats and mice,eats_rats_and_mice,1,True,1
Alligator,has tusks,has_tusks,0,False,0
Alligator,has white and black stripes,has_white_and_black_stripes,0,False,0
Alligator,hibernates,hibernates,0,False,0
Alligator,is found on plants,is_found_on_plants,0,False,0
Alligator,is in a cuckoo clock,is_in_a_cuckoo_clock,0,False,0
Alligator,is orange,is_orange,0,False,0
Alligator,is popular among children,is_popular_among_children,0,False,0
Alligator,is red with black spots,is_red_with_black_spots,0,False,0
Alligator,is well camouflaged,is_well_camouflaged,1,True,1
Alligator,lays big eggs,lays_big_eggs,1,False,0
Alligator,live alone,live_alone,1,False,0
Alligator,makes a 'coo' sound,makes_a_'coo'_sound,0,False,0
Alligator,often becoms a cat's prey,often_becoms_a_cat's_prey,0,False,0
Alligator,predecessor of humans,predecessor_of_humans,0,False,0
Alligator,says cuckoo,says_cuckoo,0,False,0
Alligator,shoes and handbags are made of it,shoes_and_handbags_are_made_of_it,1,True,1
Alligator,squirts ink,squirts_ink,0,False,0
Alligator,you can find them in homes,you_can_find_them_in_homes,0,False,0
