concept,feature,feature_raw,gpt5_response,gpt5_true
Alligator,has a tongue,has_a_tongue,True,1
Alligator,attacks,attacks,True,1
Alligator,digs holes,digs_holes,True,1
Alligator,short front legs,short_front_legs,True,1
Alligator,has many teeth,has_many_teeth,True,1
Alligator,is difficult to catch,is_difficult_to_catch,True,1
Alligator,usually has one young at a time,usually_has_one_young_at_a_time,False,0
Alligator,laong teeth,laong_teeth,True,1
Alligator,brays,brays,False,0
Alligator,wild animal,wild_animal,True,1
Alligator,hunts chicken,hunts_chicken,False,0
Alligator,is aggressive,is_aggressive,True,1
Alligator,has beady eyes,has_beady_eyes,True,1
Alligator,comes up to the surface for air,comes_up_to_the_surface_for_air,True,1
Alligator,is first a tadpole,is_first_a_tadpole,False,0
Alligator,has sharp claws,has_sharp_claws,True,1
Alligator,is found mainly in southern countries,is_found_mainly_in_southern_countries,False,0
Alligator,lives in the open air,lives_in_the_open_air,True,1
Alligator,lives outdoors,lives_outdoors,True,1
Alligator,looks like a crocodile,looks_like_a_crocodile,True,1
Alligator,savanne,savanne,False,0
Alligator,has ribs,has_ribs,True,1
Alligator,is an exotic animal,is_an_exotic_animal,False,0
Alligator,indians hunted it,indians_hunted_it,True,1
Alligator,is found in warm places,is_found_in_warm_places,True,1
Alligator,smells blood,smells_blood,True,1
Alligator,is scary,is_scary,True,1
Alligator,lives in a swamp,lives_in_a_swamp,True,1
Alligator,typical ennemy of a cat,typical_ennemy_of_a_cat,False,0
Alligator,seems mean,seems_mean,True,1
Alligator,protected species,protected_species,True,1
Alligator,drinks water,drinks_water,True,1
Alligator,has a hooked bill,has_a_hooked_bill,False,0
Alligator,has a rough skin,has_a_rough_skin,True,1
Alligator,some people are allergic to it,some_people_are_allergic_to_it,True,1
Alligator,has young = cubs,has_young_=_cubs,False,0
Alligator,large nostrils,large_nostrils,True,1
Alligator,lives nearby ponds,lives_nearby_ponds,True,1
Alligator,eats flies,eats_flies,False,0
Alligator,can become pest,can_become_pest,False,0
Alligator,catches mice,catches_mice,False,0
Alligator,can loose its tail,can_loose_its_tail,True,1
Alligator,difficult to exterminate,difficult_to_exterminate,False,0
Alligator,swallows its prey in its entirety,swallows_its_prey_in_its_entirety,True,1
Alligator,stubborn,stubborn,False,0
Alligator,swims in rivers,swims_in_rivers,True,1
Alligator,wakes up,wakes_up,True,1
Alligator,can cause much hinder,can_cause_much_hinder,True,1
Alligator,can be caught,can_be_caught,True,1
Alligator,used in research,used_in_research,True,1
Alligator,lives in tropical waters,lives_in_tropical_waters,False,0
Alligator,is bigger than a chicken,is_bigger_than_a_chicken,True,1
Alligator,exists for ages,exists_for_ages,True,1
Alligator,roar,roar,False,0
Alligator,prey,prey,False,0
Alligator,appears in songs,appears_in_songs,True,1
Alligator,is found in advertising or as brand,is_found_in_advertising_or_as_brand_,True,1
Alligator,can be dangerous,can_be_dangerous,True,1
Alligator,writhes (twists),writhes_(twists),True,1
Alligator,has camouflage,has_camouflage,True,1
Alligator,lives in unhygienic places,lives_in_unhygienic_places,True,1
Alligator,makes a strange noise,makes_a_strange_noise,True,1
Alligator,can be cooked in different ways,can_be_cooked_in_different_ways,True,1
Alligator,compound eyes,compound_eyes,False,0
Alligator,creaks when killed,creaks_when_killed,False,0
Alligator,kind of crocodile,kind_of_crocodile,False,0
Alligator,occasionally washes ashore,occasionally_washes_ashore,False,0
Alligator,skin can be used for clothes,skin_can_be_used_for_clothes,True,1
Alligator,somtimes used in a circus,somtimes_used_in_a_circus,True,1
Alligator,is well camouflaged,is_well_camouflaged,True,1
Alligator,is brown/black,is_brown/black,True,1
Alligator,shoes and handbags are made of it,shoes_and_handbags_are_made_of_it,True,1
Alligator,is dangerous to people,is_dangerous_to_people,True,1
Alligator,makes a sound like a grunt,makes_a_sound_like_a_grunt,False,0
Alligator,is killed by man,is_killed_by_man,True,1
Alligator,likes rolling in mud,likes_rolling_in_mud,False,0
Alligator,is sly,is_sly,False,0
Alligator,attaches to the body,attaches_to_the_body,False,0
Alligator,is strong,is_strong,True,1
Alligator,spits,spits,False,0
Alligator,can be aggressive,can_be_aggressive,True,1
Alligator,eats rats and mice,eats_rats_and_mice,True,1
Alligator,thick skin,thick_skin,True,1
Alligator,rolls up in danger,rolls_up_in_danger,False,0
Alligator,is elongated,is_elongated,True,1
Alligator,does not migrate in the winter,does_not_migrate_in_the_winter,True,1
Alligator,has sharp claws.1,has_sharp_claws.1,True,1
Alligator,is cold-blooded,is_cold-blooded,True,1
Alligator,eats mice,eats_mice,True,1
Alligator,has a big mouth,has_a_big_mouth,True,1
Alligator,lives in a damp climate,lives_in_a_damp_climate,True,1
Alligator,sheds its skin,sheds_its_skin,True,1
Alligator,is a scavenging animal,is_a_scavenging_animal,True,1
Alligator,can be bred,can_be_bred,True,1
Alligator,lives in the jungle,lives_in_the_jungle,False,0
Alligator,eats small animals,eats_small_animals,True,1
Alligator,is terrifying,is_terrifying,True,1
Alligator,gives pain,gives_pain,True,1
Alligator,has eyes,has_eyes,True,1
Alligator,has teeth,has_teeth,True,1
Alligator,has large theeth,has_large_theeth,True,1
Alligator,can't fly,can't_fly,True,1
Alligator,is sometimes eaten by man,is_sometimes_eaten_by_man,True,1
Alligator,lives in nature,lives_in_nature,True,1
Alligator,incites fear,incites_fear,True,1
Alligator,small and large kinds,small_and_large_kinds,True,1
Alligator,lives in tropical areas,lives_in_tropical_areas,True,1
Alligator,has no paws,has_no_paws,True,1
Alligator,occasionally occurs in films,occasionally_occurs_in_films,True,1
Alligator,has a long tongue,has_a_long_tongue,False,0
Alligator,eats worms,eats_worms,False,0
Alligator,has claws,has_claws,True,1
Alligator,has a split tongue,has_a_split_tongue,False,0
Alligator,lives nearby the water,lives_nearby_the_water,True,1
Alligator,makes a hissing noise,makes_a_hissing_noise,True,1
Alligator,heavy,heavy,True,1
Alligator,has bones,has_bones,True,1
Alligator,bites,bites,True,1
Alligator,exists in different sizes and kinds,exists_in_different_sizes_and_kinds,True,1
Alligator,makes a sound,makes_a_sound,True,1
Alligator,the meat is eaten,the_meat_is_eaten,True,1
Alligator,can have different colors,can_have_different_colors,True,1
Alligator,is green-brown,is_green-brown,True,1
Alligator,has a long neck,has_a_long_neck,False,0
Alligator,has a pointed mouth,has_a_pointed_mouth,False,0
Alligator,is hunted,is_hunted,True,1
Alligator,lives in warm countries,lives_in_warm_countries,True,1
Alligator,lives in the wild,lives_in_the_wild,True,1
Alligator,frightens people,frightens_people,True,1
Alligator,is fished for,is_fished_for,False,0
Alligator,nocturnal animal,nocturnal_animal,True,1
Alligator,is a carnivore,is_a_carnivore,True,1
Alligator,lives in the woods,lives_in_the_woods,False,0
Alligator,eats insects,eats_insects,False,0
Alligator,eats fish,eats_fish,True,1
Alligator,can swim,can_swim,True,1
Alligator,has a tail,has_a_tail,True,1
Alligator,has scales,has_scales,True,1
Alligator,lives in water,lives_in_water,True,1
Alligator,is dangerous,is_dangerous,True,1
Alligator,lays eggs,lays_eggs,True,1
Alligator,is big,is_big,True,1
Alligator,has sharp teeth,has_sharp_teeth,True,1
Alligator,is a reptile,is_a_reptile,True,1
Alligator,is an animal,is_an_animal,True,1
Alligator,can be used to threaten somebody,can_be_used_to_threaten_somebody,True,1
Alligator,can be found in a forest,can_be_found_in_a_forest,False,0
Alligator,can break stuff open,can_break_stuff_open,True,1
Alligator,can become dirty,can_become_dirty,True,1
Alligator,can harm,can_harm,True,1
Alligator,can be made of different tissues,can_be_made_of_different_tissues,True,1
Alligator,can be luxurious,can_be_luxurious,False,0
Alligator,can cut you,can_cut_you,True,1
Alligator,can have a container,can_have_a_container_,True,1
Alligator,can hurt,can_hurt,True,1
Alligator,can injure,can_injure,True,1
Alligator,comes in different lengths,comes_in_different_lengths,True,1
Alligator,can hurt you,can_hurt_you,True,1
Alligator,can work as defence,can_work_as_defence,True,1
Alligator,comes in different brands and models,comes_in_different_brands_and_models,False,0
Alligator,can hold water,can_hold_water,False,0
Alligator,comes in different patterns,comes_in_different_patterns,True,1
Alligator,does not melt in high temperature,does_not_melt_in_high_temperature,False,0
Alligator,could be an animal,could_be_an_animal,True,1
Alligator,constitutes a whole,constitutes_a_whole,True,1
Alligator,exists in different brands,exists_in_different_brands,False,0
Alligator,consists of different parts,consists_of_different_parts,True,1
Alligator,drivers licence not required,drivers_licence_not_required,True,1
Alligator,exists in different colors,exists_in_different_colors,True,1
Alligator,exists in different colors and different forms,exists_in_different_colors_and_different_forms,True,1
Alligator,exists in different forms,exists_in_different_forms,True,1
Alligator,exists in different kinds,exists_in_different_kinds,True,1
Alligator,exists in different lengths,exists_in_different_lengths,True,1
Alligator,exists in different measurements,exists_in_different_measurements,True,1
Alligator,exists in different sizes.1,exists_in_different_sizes.1,True,1
Alligator,feels rough,feels_rough,True,1
Alligator,exists in different types,exists_in_different_types,True,1
Alligator,costs money,costs_money,True,1
Alligator,exists in different sizes,exists_in_different_sizes,True,1
Alligator,has a complex shape,has_a_complex_shape,True,1
Alligator,has a dark color,has_a_dark_color,True,1
Alligator,has a deep sound,has_a_deep_sound,True,1
Alligator,has a grip,has_a_grip,False,0
Alligator,has a mouthpiece,has_a_mouthpiece,False,0
Alligator,has a neck,has_a_neck,True,1
Alligator,has a trailer,has_a_trailer,False,0
Alligator,has a skin,has_a_skin,True,1
Alligator,has great power,has_great_power,True,1
Alligator,has different patterns,has_different_patterns,True,1
Alligator,has no engine,has_no_engine,True,1
Alligator,has been existing for a long time,has_been_existing_for_a_long_time,True,1
Alligator,has no roof,has_no_roof,True,1
Alligator,is agressive,is_agressive,True,1
Alligator,has patterns,has_patterns,True,1
Alligator,is big and heavy,is_big_and_heavy,True,1
Alligator,has different patterns.1,has_different_patterns.1,True,1
Alligator,is dangerous for the fingers,is_dangerous_for_the_fingers,True,1
Alligator,is bigger than a car,is_bigger_than_a_car,False,0
Alligator,is dangerous for children,is_dangerous_for_children,True,1
Alligator,is an English word,is_an_English_word,True,1
Alligator,is durable,is_durable,True,1
Alligator,is fairly unknown,is_fairly_unknown,False,0
Alligator,is hard to work with,is_hard_to_work_with,True,1
Alligator,is many women's nightmare,is_many_women's_nightmare,True,1
Alligator,is not edible,is_not_edible,True,1
Alligator,is heavy,is_heavy,True,1
Alligator,is played during concerts,is_played_during_concerts,False,0
Alligator,is hard to wash,is_hard_to_wash,True,1
Alligator,is not popular among many people,is_not_popular_among_many_people,False,0
Alligator,is primitive,is_primitive,False,0
Alligator,is powerful,is_powerful,True,1
Alligator,is thick,is_thick,False,0
Alligator,makes catching things easier,makes_catching_things_easier,True,1
Alligator,looks tough,looks_tough,True,1
Alligator,not nice to use,not_nice_to_use,True,1
Alligator,its vibrations produce sounds,its_vibrations_produce_sounds,False,0
Alligator,occurs in films,occurs_in_films,True,1
Alligator,not used much,not_used_much,False,0
Alligator,often used by street musicians,often_used_by_street_musicians,False,0
Alligator,often seen at the coast,often_seen_at_the_coast,True,1
Alligator,often found to be frightening,often_found_to_be_frightening,True,1
Alligator,produces noise,produces_noise,True,1
Alligator,often used in blues music,often_used_in_blues_music,False,0
Alligator,shows a naked belly,shows_a_naked_belly,False,0
Alligator,sometimes has soil sticking to it,sometimes_has_soil_sticking_to_it,True,1
Alligator,sounds low,sounds_low,False,0
Alligator,not everyone has it,not_everyone_has_it,True,1
Alligator,used in pop music,used_in_pop_music,False,0
Alligator,used in jazz music,used_in_jazz_music,False,0
Alligator,used in different cultures,used_in_different_cultures,True,1
Alligator,used to grasp something,used_to_grasp_something,True,1
Alligator,you can injure someone with it,you_can_injure_someone_with_it,True,1
Alligator,turns around,turns_around,True,1
Alligator,you can get injured by it,you_can_get_injured_by_it,True,1
Alligator,was used in the past,was_used_in_the_past,False,0
Alligator,you don't see it frequently,you_don't_see_it_frequently,True,1
Alligator,you can kill someone with it,you_can_kill_someone_with_it,True,1
Alligator,used for rock music,used_for_rock_music,False,0
Anvil,does not smell well,does_not_smell_well,False,0
Anvil,appears in comics,appears_in_comics,True,1
Anvil,"can be brown, black, white, grey","can_be_brown,_black,_white,_grey",True,1
Anvil,is found in earth,is_found_in_earth,True,1
Anvil,is not a pet,is_not_a_pet,True,1
Anvil,doesn't herd,doesn't_herd,True,1
Anvil,doesn't have 1000 paws,doesn't_have_1000_paws,True,1
Anvil,is popular and appreciated,is_popular_and_appreciated,False,0
Anvil,is not poisonous,is_not_poisonous,True,1
Anvil,smaller than a horse,smaller_than_a_horse,True,1
Anvil,is not good at flying,is_not_good_at_flying,True,1
Anvil,neutral scent,neutral_scent,True,1
Anvil,has a flat head,has_a_flat_head,True,1
Anvil,hard,hard,True,1
Anvil,was used in medical science in earlier times,was_used_in_medical_science_in_earlier_times,False,0
Anvil,is not expensive,is_not_expensive,False,0
Anvil,is found all around the world,is_found_all_around_the_world,True,1
Anvil,rough,rough,True,1
Anvil,does not lay eggs,does_not_lay_eggs,True,1
Anvil,some people are allergic to it,some_people_are_allergic_to_it,False,0
Anvil,lives on the ground,lives_on_the_ground,False,0
Anvil,exists for ages,exists_for_ages,True,1
Anvil,often sits still,often_sits_still,True,1
Anvil,is silvery,is_silvery,True,1
Anvil,makes a recognizable sound,makes_a_recognizable_sound,True,1
Anvil,somtimes used in a circus,somtimes_used_in_a_circus,True,1
Anvil,can be dangerous,can_be_dangerous,True,1
Anvil,is found in advertising or as brand,is_found_in_advertising_or_as_brand_,True,1
Anvil,appears in songs,appears_in_songs,True,1
Anvil,is strong,is_strong,True,1
Anvil,is not eaten,is_not_eaten,True,1
Anvil,can't fly,can't_fly,True,1
Anvil,small and large kinds,small_and_large_kinds,True,1
Anvil,occasionally occurs in films,occasionally_occurs_in_films,True,1
Anvil,lives on land,lives_on_land__,False,0
Anvil,exists in different sizes and kinds,exists_in_different_sizes_and_kinds,True,1
Anvil,heavy,heavy,True,1
Anvil,can have different colors,can_have_different_colors,True,1
Anvil,makes a sharp sound,makes_a_sharp_sound,True,1
Anvil,is dangerous,is_dangerous,True,1
Anvil,makes a sound,makes_a_sound,True,1
Anvil,can be carried,can_be_carried,True,1
Anvil,be used to hit nails into the wall,be_used_to_hit_nails_into_the_wall,False,0
Anvil,can be held,can_be_held,True,1
Anvil,can be found on a castle,can_be_found_on_a_castle,True,1
Anvil,can be carried by anyone,can_be_carried_by_anyone,False,0
Anvil,can be seen on television,can_be_seen_on_television,True,1
Anvil,can be thick or thin,can_be_thick_or_thin,True,1
Anvil,can be turned,can_be_turned,False,0
Anvil,can be made of different materials,can_be_made_of_different_materials,True,1
Anvil,can be found in a garage,can_be_found_in_a_garage,True,1
Anvil,can be used to hit somebody,can_be_used_to_hit_somebody,True,1
Anvil,can be used several times,can_be_used_several_times,True,1
Anvil,can be used to lash,can_be_used_to_lash,False,0
Anvil,can be used to threaten somebody,can_be_used_to_threaten_somebody,True,1
Anvil,can be used to sharpen knives,can_be_used_to_sharpen_knives,False,0
Anvil,can become dirty,can_become_dirty,True,1
Anvil,can break,can_break,True,1
Anvil,can cut you,can_cut_you,False,0
Anvil,can break stuff open,can_break_stuff_open,True,1
Anvil,can harm,can_harm,True,1
Anvil,can get rusty,can_get_rusty,True,1
Anvil,can have a container,can_have_a_container_,True,1
Anvil,can be used on two sides,can_be_used_on_two_sides,False,0
Anvil,can hurt you,can_hurt_you,True,1
Anvil,can hurt,can_hurt,True,1
Anvil,can sound out of tune,can_sound_out_of_tune,True,1
Anvil,can work as defence,can_work_as_defence,True,1
Anvil,consists of different parts,consists_of_different_parts,True,1
Anvil,comes in different brands and models,comes_in_different_brands_and_models,False,0
Anvil,can injure,can_injure,True,1
Anvil,constitutes a whole,constitutes_a_whole,True,1
Anvil,comes in very handy,comes_in_very_handy,False,0
Anvil,comes in different lengths,comes_in_different_lengths,False,0
Anvil,does not melt in high temperature,does_not_melt_in_high_temperature,True,1
Anvil,costs money,costs_money,True,1
Anvil,exists in different brands,exists_in_different_brands,True,1
Anvil,can break.1,can_break.1,True,1
Anvil,exists in different forms,exists_in_different_forms,True,1
Anvil,exists in different materials,exists_in_different_materials,True,1
Anvil,exists in different kinds,exists_in_different_kinds,True,1
Anvil,exists in different sizes.1,exists_in_different_sizes.1,True,1
Anvil,exists in different sizes,exists_in_different_sizes,True,1
Anvil,exists in different measurements,exists_in_different_measurements,True,1
Anvil,exists in different thicknesses,exists_in_different_thicknesses,True,1
Anvil,feels rough,feels_rough,True,1
Anvil,found in a tool box,found_in_a_tool_box,True,1
Anvil,has a cap,has_a_cap,False,0
Anvil,exists in different types,exists_in_different_types,True,1
Anvil,has a grillfunction,has_a_grillfunction,False,0
Anvil,has a cross or flat shape,has_a_cross_or_flat_shape,False,0
Anvil,exists in different lengths,exists_in_different_lengths,False,0
Anvil,has a label,has_a_label,True,1
Anvil,has a metal head,has_a_metal_head,False,0
Anvil,has a point,has_a_point,False,0
Anvil,has a metallic color,has_a_metallic_color,True,1
Anvil,has the name of a company printed on it,has_the_name_of_a_company_printed_on_it,False,0
Anvil,has a handle,has_a_handle,False,0
Anvil,has drums,has_drums,False,0
Anvil,has been existing for a long time,has_been_existing_for_a_long_time,True,1
Anvil,has to do with fire,has_to_do_with_fire,False,0
Anvil,is a basic tool,is_a_basic_tool,True,1
Anvil,implement/tool,implement/tool,True,1
Anvil,has to do with nails,has_to_do_with_nails,True,1
Anvil,is a material,is_a_material,False,0
Anvil,is a tool,is_a_tool,True,1
Anvil,is a piece of equipment,is_a_piece_of_equipment,True,1
Anvil,is an object,is_an_object,True,1
Anvil,is dangerous for children,is_dangerous_for_children,True,1
Anvil,is big and heavy,is_big_and_heavy,True,1
Anvil,is dangerous for the fingers,is_dangerous_for_the_fingers,True,1
Anvil,is fairly unknown,is_fairly_unknown,False,0
Anvil,is firm,is_firm,True,1
Anvil,is flat in the front,is_flat_in_the_front,False,0
Anvil,is durable,is_durable,True,1
Anvil,is found in a workplace,is_found_in_a_workplace,True,1
Anvil,is for sturdy guys,is_for_sturdy_guys,True,1
Anvil,is for at least 1 person,is_for_at_least_1_person,True,1
Anvil,is heavy,is_heavy,True,1
Anvil,is hard,is_hard,True,1
Anvil,is invented by man,is_invented_by_man,True,1
Anvil,is lifeless,is_lifeless,True,1
Anvil,is loud,is_loud,False,0
Anvil,is functional,is_functional,True,1
Anvil,is an English word,is_an_English_word,True,1
Anvil,is made of steel,is_made_of_steel,True,1
Anvil,is not for children,is_not_for_children,True,1
Anvil,is not edible,is_not_edible,True,1
Anvil,is multifunctional,is_multifunctional,False,0
Anvil,is old-fashioned,is_old-fashioned,True,1
Anvil,is made of iron,is_made_of_iron,True,1
Anvil,is often indispensable,is_often_indispensable,False,0
Anvil,is not sexy,is_not_sexy,True,1
Anvil,is played during concerts,is_played_during_concerts,True,1
Anvil,is silver-coloured,is_silver-coloured,True,1
Anvil,is popular,is_popular__,False,0
Anvil,is sold in a hardware store,is_sold_in_a_hardware_store,True,1
Anvil,is smaller than a lorry,is_smaller_than_a_lorry,True,1
Anvil,is part of a company,is_part_of_a_company,False,0
Anvil,is slower than a car,is_slower_than_a_car,False,0
Anvil,is useful,is_useful,True,1
Anvil,is used to beat with,is_used_to_beat_with,False,0
Anvil,is used to beat on,is_used_to_beat_on,True,1
Anvil,is used to protect you,is_used_to_protect_you,False,0
Anvil,lasts long,lasts_long,True,1
Anvil,looks tough,looks_tough,True,1
Anvil,its vibrations produce sounds,its_vibrations_produce_sounds,True,1
Anvil,made of metal,made_of_metal,True,1
Anvil,needs to be cleaned sometimes,needs_to_be_cleaned_sometimes,True,1
Anvil,makes a piercing noise,makes_a_piercing_noise,False,0
Anvil,needs to be supported,needs_to_be_supported,True,1
Anvil,needs to be cleaned after use,needs_to_be_cleaned_after_use,False,0
Anvil,made of stone,made_of_stone,False,0
Anvil,not everyone has it,not_everyone_has_it,True,1
Anvil,one has to learn how to play,one_has_to_learn_how_to_play,True,1
Anvil,played by a musician,played_by_a_musician,False,0
Anvil,played by men,played_by_men,True,1
Anvil,produces music,produces_music,False,0
Anvil,produces a lot of sound,produces_a_lot_of_sound,True,1
Anvil,produces different sounds,produces_different_sounds,True,1
Anvil,ribbed,ribbed,False,0
Anvil,often used,often_used__,False,0
Anvil,stands up straight,stands_up_straight,False,0
Anvil,smells neutral,smells_neutral,True,1
Anvil,to span nuts,to_span_nuts,False,0
Anvil,produces noise,produces_noise,True,1
Anvil,used by men,used_by_men,True,1
Anvil,used by handymen,used_by_handymen,True,1
Anvil,used by sculptors,used_by_sculptors,False,0
Anvil,used by smiths,used_by_smiths,True,1
Anvil,used by mechanics,used_by_mechanics,False,0
Anvil,used by carpenters.1,used_by_carpenters.1,False,0
Anvil,used by workers,used_by_workers,True,1
Anvil,used in combination with a hamer,used_in_combination_with_a_hamer,True,1
Anvil,used by work forces,used_by_work_forces,True,1
Anvil,used in the Middle Ages,used_in_the_Middle_Ages,True,1
Anvil,used in construction,used_in_construction,False,0
Anvil,used in different cultures,used_in_different_cultures,True,1
Anvil,used for rock music,used_for_rock_music,False,0
Anvil,was used in early ages,was_used_in_early_ages,True,1
Anvil,used by tradesmen,used_by_tradesmen,True,1
Anvil,was used in the past,was_used_in_the_past,True,1
Anvil,weighs much,weighs_much,True,1
Anvil,used to work with,used_to_work_with,True,1
Anvil,used to look nicer,used_to_look_nicer,False,0
Anvil,you can injure someone with it,you_can_injure_someone_with_it,True,1
Anvil,you can get injured by it,you_can_get_injured_by_it,True,1
Anvil,you can repair with it,you_can_repair_with_it,False,0
Anvil,you can make things with it,you_can_make_things_with_it,True,1
Anvil,you can bust things with it,you_can_bust_things_with_it,True,1
Anvil,you can see it in big cities,you_can_see_it_in_big_cities,True,1
Anvil,you have to pay for it,you_have_to_pay_for_it,True,1
Anvil,you don't see it frequently,you_don't_see_it_frequently,True,1
Axe,can be lethal to man,can_be_lethal_to_man,True,1
Axe,doesn't herd,doesn't_herd,True,1
Axe,has a flat head,has_a_flat_head,False,0
Axe,is found in earth,is_found_in_earth,False,0
Anvil,you have to be strong to use it,you_have_to_be_strong_to_use_it,True,1
Axe,is not a pet,is_not_a_pet,True,1
Axe,is not poisonous,is_not_poisonous,False,0
Axe,can kill people,can_kill_people,True,1
Axe,doesn't have 1000 paws,doesn't_have_1000_paws,True,1
Axe,more used in agriculture in the past,more_used_in_agriculture_in_the_past,True,1
Axe,has a head,has_a_head,True,1
Axe,often sits under a piece of wood,often_sits_under_a_piece_of_wood,True,1
Axe,is used in fights,is_used_in_fights,True,1
Axe,is found all around the world,is_found_all_around_the_world,True,1
Axe,smaller than a horse,smaller_than_a_horse,True,1
Axe,attacks,attacks,False,0
Axe,rough,rough,True,1
Axe,lives on the ground,lives_on_the_ground,False,0
Axe,hard,hard,True,1
Axe,does not lay eggs,does_not_lay_eggs,True,1
Axe,is aggressive,is_aggressive,False,0
Axe,seems mean,seems_mean,False,0
Axe,is lethal,is_lethal,True,1
Axe,can cause much hinder,can_cause_much_hinder,True,1
Axe,makes a recognizable sound,makes_a_recognizable_sound,True,1
Axe,is not expensive,is_not_expensive,False,0
Axe,exists for ages,exists_for_ages,True,1
Axe,is found in advertising or as brand,is_found_in_advertising_or_as_brand_,True,1
Axe,you can find them in homes,you_can_find_them_in_homes,True,1
Axe,can be dangerous,can_be_dangerous,True,1
Axe,makes holes in trees,makes_holes_in_trees,False,0
Axe,is dangerous to people,is_dangerous_to_people,True,1
Axe,is elongated,is_elongated,True,1
Axe,makes holes in clothing,makes_holes_in_clothing,False,0
Axe,is also a sharp,is_also_a_sharp,True,1
Axe,transferable,transferable,True,1
Axe,can be aggressive,can_be_aggressive,True,1
Axe,lives on land,lives_on_land__,False,0
Axe,gives pain,gives_pain,True,1
Axe,can't fly,can't_fly,True,1
Axe,small and large kinds,small_and_large_kinds,True,1
Axe,is not eaten,is_not_eaten,True,1
Axe,has no paws,has_no_paws,True,1
Axe,heavy,heavy,True,1
Axe,makes a sound,makes_a_sound,True,1
Axe,makes a sharp sound,makes_a_sharp_sound,True,1
Axe,there are many kinds of it,there_are_many_kinds_of_it,True,1
Axe,is dangerous,is_dangerous,True,1
Axe,can have different colors,can_have_different_colors,True,1
Axe,be used to hit nails into the wall,be_used_to_hit_nails_into_the_wall,False,0
Axe,exists in different sizes and kinds,exists_in_different_sizes_and_kinds,True,1
Axe,can be acoustic,can_be_acoustic,True,1
Axe,can be a wound : abrasion,can_be_a_wound_:_abrasion,False,0
Axe,can be carried,can_be_carried,True,1
Axe,can be found in a garage,can_be_found_in_a_garage,True,1
Axe,can be connected to an amplifier,can_be_connected_to_an_amplifier,True,1
Axe,is strong,is_strong,True,1
Axe,can be carried by anyone,can_be_carried_by_anyone,True,1
Axe,can be found on a castle,can_be_found_on_a_castle,True,1
Axe,can be made of different materials,can_be_made_of_different_materials,True,1
Axe,can be held,can_be_held,True,1
Axe,can be found on a camping,can_be_found_on_a_camping,True,1
Axe,can be played on,can_be_played_on,False,0
Axe,can be played upon,can_be_played_upon,False,0
Axe,can be turned,can_be_turned,True,1
Axe,can be plunked upon,can_be_plunked_upon,False,0
Axe,can be thick or thin,can_be_thick_or_thin,False,0
Axe,can be used on two sides,can_be_used_on_two_sides,False,0
Axe,can be tuned,can_be_tuned,True,1
Axe,can be used by anyone,can_be_used_by_anyone,True,1
Axe,can be used to hit somebody,can_be_used_to_hit_somebody,True,1
Axe,can be used several times,can_be_used_several_times,True,1
Axe,can be used to threaten somebody,can_be_used_to_threaten_somebody,True,1
Axe,can break.1,can_break.1,True,1
Axe,can be used to prick with,can_be_used_to_prick_with,False,0
Axe,can break,can_break,True,1
Axe,can break stuff open,can_break_stuff_open,True,1
Axe,can be used as weapon,can_be_used_as_weapon,True,1
Axe,can cut you,can_cut_you,True,1
Axe,can become dirty,can_become_dirty,True,1
Axe,can get rusty,can_get_rusty,True,1
