concept,close_neighbor,far_neighbor,close_similarity,far_similarity,triplet_option1,triplet_option2
clarinet,flute,cheetah,0.7425218224525452,0.14215216040611267,cheetah,flute
coat,dress,bee,0.7143728137016296,0.1604001522064209,dress,bee
cockroach,earwig,belt,0.7252327799797058,0.14651384949684143,belt,earwig
coconut,banana,bus,0.6750053763389587,0.14827558398246765,banana,bus
corkscrew,can opener,tree,0.6524084806442261,0.14932096004486084,tree,can opener
corn,bean,airplane,0.6808172464370728,0.10820865631103516,bean,airplane
costume,dress,beaver,0.7070379853248596,0.15823134779930115,beaver,dress
cranberry,blueberry,airplane,0.7924124598503113,0.10508251190185547,blueberry,airplane
crow,owl,file,0.6066662073135376,0.10656210035085678,file,owl
crowbar,axe,cheetah,0.6479983329772949,0.1387818604707718,axe,cheetah
dagger,axe,broccoli,0.6560143232345581,0.17391431331634521,broccoli,axe
dragonfly,butterfly,chocolate,0.8164917826652527,0.12499263882637024,butterfly,chocolate
dress,blouse,beaver,0.7789261341094971,0.13713756203651428,beaver,blouse
drill,bat,bread,0.48409268260002136,0.14473792910575867,bat,bread
drum,banjo,cheetah,0.6531561017036438,0.1538892239332199,cheetah,banjo
duck,bird,file,0.6507571935653687,0.10791409760713577,bird,file
eagle,owl,file,0.6247543096542358,0.09702511876821518,file,owl
earwig,cockroach,chocolate,0.7252327799797058,0.14750182628631592,cockroach,chocolate
eggbeater,can opener,tree,0.5109484791755676,0.15163898468017578,tree,can opener
fern,tree,airplane,0.5647180676460266,0.16016045212745667,tree,airplane
fig,cherry,airplane,0.710315465927124,0.1555435061454773,airplane,cherry
file,chisel,cheetah,0.35337021946907043,0.0743572786450386,chisel,cheetah
flute,clarinet,cheetah,0.7425218224525452,0.12556631863117218,cheetah,clarinet
fly,cockroach,chocolate,0.6399401426315308,0.16284115612506866,cockroach,chocolate
fruit,banana,airplane,0.7219110131263733,0.1453579068183899,airplane,banana
gong,drum,broccoli,0.5768650770187378,0.1951228529214859,drum,broccoli
grasshopper,earwig,file,0.6840181350708008,0.1520712524652481,file,earwig
grenade,bazooka,broccoli,0.5918680429458618,0.13944606482982635,bazooka,broccoli
gun,rifle,cranberry,0.7622890472412109,0.13230477273464203,cranberry,rifle
hat,coat,beaver,0.6325989961624146,0.16314168274402618,coat,beaver
jeans,pants,eagle,0.7495977878570557,0.1567600965499878,eagle,pants
jeep,car,beet,0.6972549557685852,0.14000004529953003,car,beet
missile,grenade,cranberry,0.5547758340835571,0.12983781099319458,cranberry,grenade
motorcycle,scooter,broccoli,0.7389439940452576,0.14556625485420227,scooter,broccoli
ostrich,antelope,file,0.5284025073051453,0.10009480267763138,file,antelope
owl,eagle,file,0.6247543096542358,0.10422561317682266,eagle,file
pants,jeans,eagle,0.7495977878570557,0.1356073021888733,eagle,jeans
parrot,bird,file,0.5949894785881042,0.1146998181939125,bird,file
peacock,parrot,file,0.5520170331001282,0.11044967174530029,file,parrot
pelican,fig,file,0.5595688223838806,0.13690496981143951,fig,file
penguin,owl,chocolate,0.5736935138702393,0.11356204003095627,chocolate,owl
rifle,gun,cranberry,0.7622890472412109,0.13092556595802307,gun,cranberry
scooter,motorcycle,ostrich,0.7389439940452576,0.13872084021568298,ostrich,motorcycle
skateboard,scooter,broccoli,0.5801225900650024,0.16181325912475586,scooter,broccoli
sled,cart,broccoli,0.6348171830177307,0.13344086706638336,broccoli,cart
slingshot,bazooka,bison,0.5516319870948792,0.14421993494033813,bazooka,bison
spear,dagger,penguin,0.617938756942749,0.19537295401096344,penguin,dagger
tree,fern,can opener,0.5647180676460266,0.12776519358158112,fern,can opener
tumbleweed,cactus,chocolate,0.44439321756362915,0.1840592622756958,chocolate,cactus
