input,prompt,response
Nail|Knife|Lawn Mower,Answer using only one word - Knife or Lawn Mower and not Nail. Which is more similar in semantic meaning to Nail?,Nail.
Snake|Knife|Oil can,Answer using only one word - Knife or Oil can and not Snake. Which is more similar in semantic meaning to Snake?,Snake.
Lawn Mower|Axe|Caiman,Answer using only one word - Axe or Caiman and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,Axe
Anvil|Lizard|Saw,Answer using only one word - Lizard or Saw and not Anvil. Which is more similar in semantic meaning to Anvil?,Saw
Shovel|Cobra|Toad,Answer using only one word - Cobra or Toad and not Shovel. Which is more similar in semantic meaning to Shovel?,Toad
Alligator|Blindworm|Lawn Mower,Answer using only one word - Blindworm or Lawn Mower and not Alligator. Which is more similar in semantic meaning to Alligator?,Blindworm
Crocodile|Cobra|Salamander,Answer using only one word - Cobra or Salamander and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Cobra
Caiman|Chisel|Salamander,Answer using only one word - Chisel or Salamander and not Caiman. Which is more similar in semantic meaning to Caiman?,Salamander
Chisel|Paint brush|Saw,Answer using only one word - Paint brush or Saw and not Chisel. Which is more similar in semantic meaning to Chisel?,Saw
Grinding disk|Blindworm|Knife,Answer using only one word - Blindworm or Knife and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Blindworm
Saw|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Saw. Which is more similar in semantic meaning to Saw?,Gecko
Knife|Lawn Mower|Vacuum,Answer using only one word - Lawn Mower or Vacuum and not Knife. Which is more similar in semantic meaning to Knife?,Lawn Mower
Crocodile|Hammer|Spanner,Answer using only one word - Hammer or Spanner and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Crocodile.
Grinding disk|Hammer|Screwdriver,Answer using only one word - Hammer or Screwdriver and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Grinding disk.
Toad|Paint brush|Tortoise,Answer using only one word - Paint brush or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,Tortoise.
Screwdriver|Axe|Dinosaur,Answer using only one word - Axe or Dinosaur and not Screwdriver. Which is more similar in semantic meaning to Screwdriver?,Axe
Oil can|Axe|Snake,Answer using only one word - Axe or Snake and not Oil can. Which is more similar in semantic meaning to Oil can?,Axe
Nail|Dinosaur|Oil can,Answer using only one word - Dinosaur or Oil can and not Nail. Which is more similar in semantic meaning to Nail?,Oil.
Oil can|Snake|Toad,Answer using only one word - Snake or Toad and not Oil can. Which is more similar in semantic meaning to Oil can?,Toad
Axe|Gecko|Vacuum,Answer using only one word - Gecko or Vacuum and not Axe. Which is more similar in semantic meaning to Axe?,Gecko
Toad|Caiman|Oil can,Answer using only one word - Caiman or Oil can and not Toad. Which is more similar in semantic meaning to Toad?,Toad.
Shovel|Dinosaur|Lawn Mower,Answer using only one word - Dinosaur or Lawn Mower and not Shovel. Which is more similar in semantic meaning to Shovel?,Lawn Mower
Hammer|Anvil|Lizard,Answer using only one word - Anvil or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,Lizard
Salamander|Blindworm|Tortoise,Answer using only one word - Blindworm or Tortoise and not Salamander. Which is more similar in semantic meaning to Salamander?,Salamander
Chameleon|Boa python|Toad,Answer using only one word - Boa python or Toad and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Toad
Crocodile|Alligator|Screwdriver,Answer using only one word - Alligator or Screwdriver and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Screwdriver
Lizard|Gecko|Turtle,Answer using only one word - Gecko or Turtle and not Lizard. Which is more similar in semantic meaning to Lizard?,Turtle
Crocodile|Gecko|Turtle,Answer using only one word - Gecko or Turtle and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Turtle
Anvil|Crocodile|Grinding disk,Answer using only one word - Crocodile or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,Grinding disk.
Anvil|Caiman|Knife,Answer using only one word - Caiman or Knife and not Anvil. Which is more similar in semantic meaning to Anvil?,Knife
Salamander|Alligator|Nail,Answer using only one word - Alligator or Nail and not Salamander. Which is more similar in semantic meaning to Salamander?,Salamander
Grinding disk|Axe|Dinosaur,Answer using only one word - Axe or Dinosaur and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Dinosaur
Snake|Chisel|Vacuum,Answer using only one word - Chisel or Vacuum and not Snake. Which is more similar in semantic meaning to Snake?,Snake
Toad|Crocodile|Lizard,Answer using only one word - Crocodile or Lizard and not Toad. Which is more similar in semantic meaning to Toad?,Toad
Axe|Salamander|Turtle,Answer using only one word - Salamander or Turtle and not Axe. Which is more similar in semantic meaning to Axe?,Turtle
Saw|Cobra|Turtle,Answer using only one word - Cobra or Turtle and not Saw. Which is more similar in semantic meaning to Saw?,Cobra
Blindworm|Caiman|Cobra,Answer using only one word - Caiman or Cobra and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Caiman
Chameleon|Alligator|Oil can,Answer using only one word - Alligator or Oil can and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Chameleon
Lawn Mower|Cobra|Screwdriver,Answer using only one word - Cobra or Screwdriver and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,Screwdriver
Screwdriver|Paint brush|Salamander,Answer using only one word - Paint brush or Salamander and not Screwdriver. Which is more similar in semantic meaning to Screwdriver?,Screwdriver
Lawn Mower|Anvil|Knife,Answer using only one word - Anvil or Knife and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,Lawn Mower
Snake|Boa python|Chameleon,Answer using only one word - Boa python or Chameleon and not Snake. Which is more similar in semantic meaning to Snake?,Chameleon
Vacuum|Lizard|Paint brush,Answer using only one word - Lizard or Paint brush and not Vacuum. Which is more similar in semantic meaning to Vacuum?,Paint brush.
Boa python|Dinosaur|Saw,Answer using only one word - Dinosaur or Saw and not Boa python. Which is more similar in semantic meaning to Boa python?,Saw
Blindworm|Salamander|Snake,Answer using only one word - Salamander or Snake and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Snake
Nail|Lizard|Screwdriver,Answer using only one word - Lizard or Screwdriver and not Nail. Which is more similar in semantic meaning to Nail?,Nail
Chameleon|Knife|Oil can,Answer using only one word - Knife or Oil can and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Chameleon
Chisel|Knife|Lawn Mower,Answer using only one word - Knife or Lawn Mower and not Chisel. Which is more similar in semantic meaning to Chisel?,Chisel
Knife|Anvil|Axe,Answer using only one word - Anvil or Axe and not Knife. Which is more similar in semantic meaning to Knife?,Anvil
Nail|Cobra|Crocodile,Answer using only one word - Cobra or Crocodile and not Nail. Which is more similar in semantic meaning to Nail?,Cobra
Lizard|Hammer|Nail,Answer using only one word - Hammer or Nail and not Lizard. Which is more similar in semantic meaning to Lizard?,Nail
Nail|Spanner|Turtle,Answer using only one word - Spanner or Turtle and not Nail. Which is more similar in semantic meaning to Nail?,Spanner
Crocodile|Salamander|Tortoise,Answer using only one word - Salamander or Tortoise and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Crocodile
Tortoise|Chisel|Spanner,Answer using only one word - Chisel or Spanner and not Tortoise. Which is more similar in semantic meaning to Tortoise?,Chisel
Gecko|Anvil|Cobra,Answer using only one word - Anvil or Cobra and not Gecko. Which is more similar in semantic meaning to Gecko?,Cobra
Caiman|Lizard|Shovel,Answer using only one word - Lizard or Shovel and not Caiman. Which is more similar in semantic meaning to Caiman?,Shovel
Snake|Paint brush|Vacuum,Answer using only one word - Paint brush or Vacuum and not Snake. Which is more similar in semantic meaning to Snake?,Vacuum
Saw|Alligator|Toad,Answer using only one word - Alligator or Toad and not Saw. Which is more similar in semantic meaning to Saw?,Alligator
Chisel|Blindworm|Boa python,Answer using only one word - Blindworm or Boa python and not Chisel. Which is more similar in semantic meaning to Chisel?,Blindworm
Boa python|Nail|Shovel,Answer using only one word - Nail or Shovel and not Boa python. Which is more similar in semantic meaning to Boa python?,Shovel
Dinosaur|Lawn Mower|Vacuum,Answer using only one word - Lawn Mower or Vacuum and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Vacuum
Oil can|Chameleon|Grinding disk,Answer using only one word - Chameleon or Grinding disk and not Oil can. Which is more similar in semantic meaning to Oil can?,Grinding disk.
Grinding disk|Blindworm|Cobra,Answer using only one word - Blindworm or Cobra and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Cobra
Chameleon|Grinding disk|Toad,Answer using only one word - Grinding disk or Toad and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Toad
Toad|Gecko|Shovel,Answer using only one word - Gecko or Shovel and not Toad. Which is more similar in semantic meaning to Toad?,Shovel
Toad|Axe|Salamander,Answer using only one word - Axe or Salamander and not Toad. Which is more similar in semantic meaning to Toad?,Salamander
Chisel|Alligator|Lawn Mower,Answer using only one word - Alligator or Lawn Mower and not Chisel. Which is more similar in semantic meaning to Chisel?,Lawn Mower
Chisel|Anvil|Oil can,Answer using only one word - Anvil or Oil can and not Chisel. Which is more similar in semantic meaning to Chisel?,Anvil
Paint brush|Caiman|Vacuum,Answer using only one word - Caiman or Vacuum and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Paintbrush
Knife|Alligator|Gecko,Answer using only one word - Alligator or Gecko and not Knife. Which is more similar in semantic meaning to Knife?,Alligator
Hammer|Blindworm|Salamander,Answer using only one word - Blindworm or Salamander and not Hammer. Which is more similar in semantic meaning to Hammer?,Salamander
Nail|Crocodile|Knife,Answer using only one word - Crocodile or Knife and not Nail. Which is more similar in semantic meaning to Nail?,Knife
Crocodile|Alligator|Grinding disk,Answer using only one word - Alligator or Grinding disk and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Grinding disk.
Alligator|Boa python|Chameleon,Answer using only one word - Boa python or Chameleon and not Alligator. Which is more similar in semantic meaning to Alligator?,Chameleon
Saw|Toad|Tortoise,Answer using only one word - Toad or Tortoise and not Saw. Which is more similar in semantic meaning to Saw?,Tortoise.
Turtle|Knife|Salamander,Answer using only one word - Knife or Salamander and not Turtle. Which is more similar in semantic meaning to Turtle?,Salamander
Anvil|Lawn Mower|Snake,Answer using only one word - Lawn Mower or Snake and not Anvil. Which is more similar in semantic meaning to Anvil?,Snake
Hammer|Chameleon|Crocodile,Answer using only one word - Chameleon or Crocodile and not Hammer. Which is more similar in semantic meaning to Hammer?,Hammer.
Grinding disk|Salamander|Saw,Answer using only one word - Salamander or Saw and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Saw
Crocodile|Lizard|Shovel,Answer using only one word - Lizard or Shovel and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Shovel.
Blindworm|Boa python|Lawn Mower,Answer using only one word - Boa python or Lawn Mower and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Lawn Mower
Dinosaur|Crocodile|Shovel,Answer using only one word - Crocodile or Shovel and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Dinosaur
Oil can|Anvil|Chameleon,Answer using only one word - Anvil or Chameleon and not Oil can. Which is more similar in semantic meaning to Oil can?,Anvil
Lizard|Caiman|Grinding disk,Answer using only one word - Caiman or Grinding disk and not Lizard. Which is more similar in semantic meaning to Lizard?,Caiman
Shovel|Cobra|Spanner,Answer using only one word - Cobra or Spanner and not Shovel. Which is more similar in semantic meaning to Shovel?,Spanner
Chameleon|Chisel|Gecko,Answer using only one word - Chisel or Gecko and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Gecko
Lawn Mower|Knife|Snake,Answer using only one word - Knife or Snake and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,Lawn Mower
Salamander|Alligator|Blindworm,Answer using only one word - Alligator or Blindworm and not Salamander. Which is more similar in semantic meaning to Salamander?,Salamander
Tortoise|Axe|Oil can,Answer using only one word - Axe or Oil can and not Tortoise. Which is more similar in semantic meaning to Tortoise?,Oil
Crocodile|Lawn Mower|Lizard,Answer using only one word - Lawn Mower or Lizard and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Lizard
Saw|Blindworm|Boa python,Answer using only one word - Blindworm or Boa python and not Saw. Which is more similar in semantic meaning to Saw?,Boa python
Dinosaur|Snake|Spanner,Answer using only one word - Snake or Spanner and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Dinosaur
Salamander|Toad|Turtle,Answer using only one word - Toad or Turtle and not Salamander. Which is more similar in semantic meaning to Salamander?,Salamander
Vacuum|Spanner|Turtle,Answer using only one word - Spanner or Turtle and not Vacuum. Which is more similar in semantic meaning to Vacuum?,Turtle
Snake|Boa python|Paint brush,Answer using only one word - Boa python or Paint brush and not Snake. Which is more similar in semantic meaning to Snake?,Boa python.
Salamander|Axe|Oil can,Answer using only one word - Axe or Oil can and not Salamander. Which is more similar in semantic meaning to Salamander?,Axe
Axe|Dinosaur|Gecko,Answer using only one word - Dinosaur or Gecko and not Axe. Which is more similar in semantic meaning to Axe?,Gecko.
Chameleon|Knife|Nail,Answer using only one word - Knife or Nail and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Nail
Paint brush|Knife|Oil can,Answer using only one word - Knife or Oil can and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Paintbrush.
Tortoise|Blindworm|Cobra,Answer using only one word - Blindworm or Cobra and not Tortoise. Which is more similar in semantic meaning to Tortoise?,Tortoise
Oil can|Dinosaur|Vacuum,Answer using only one word - Dinosaur or Vacuum and not Oil can. Which is more similar in semantic meaning to Oil can?,Vacuum
Lizard|Axe|Spanner,Answer using only one word - Axe or Spanner and not Lizard. Which is more similar in semantic meaning to Lizard?,Axe
Caiman|Cobra|Turtle,Answer using only one word - Cobra or Turtle and not Caiman. Which is more similar in semantic meaning to Caiman?,Turtle
Lizard|Snake|Toad,Answer using only one word - Snake or Toad and not Lizard. Which is more similar in semantic meaning to Lizard?,Lizard
Saw|Nail|Salamander,Answer using only one word - Nail or Salamander and not Saw. Which is more similar in semantic meaning to Saw?,Salamander
Shovel|Dinosaur|Saw,Answer using only one word - Dinosaur or Saw and not Shovel. Which is more similar in semantic meaning to Shovel?,Saw
Knife|Anvil|Gecko,Answer using only one word - Anvil or Gecko and not Knife. Which is more similar in semantic meaning to Knife?,Anvil
Saw|Hammer|Turtle,Answer using only one word - Hammer or Turtle and not Saw. Which is more similar in semantic meaning to Saw?,Hammer
Lawn Mower|Gecko|Snake,Answer using only one word - Gecko or Snake and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,Lawn Mower
Paint brush|Knife|Tortoise,Answer using only one word - Knife or Tortoise and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Paintbrush.
Turtle|Boa python|Vacuum,Answer using only one word - Boa python or Vacuum and not Turtle. Which is more similar in semantic meaning to Turtle?,Vacuum
Chameleon|Hammer|Snake,Answer using only one word - Hammer or Snake and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Snake
Screwdriver|Crocodile|Lizard,Answer using only one word - Crocodile or Lizard and not Screwdriver. Which is more similar in semantic meaning to Screwdriver?,Lizard
Nail|Lizard|Paint brush,Answer using only one word - Lizard or Paint brush and not Nail. Which is more similar in semantic meaning to Nail?,Nail
Blindworm|Spanner|Turtle,Answer using only one word - Spanner or Turtle and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Turtle
Lizard|Knife|Saw,Answer using only one word - Knife or Saw and not Lizard. Which is more similar in semantic meaning to Lizard?,Saw
Anvil|Chisel|Tortoise,Answer using only one word - Chisel or Tortoise and not Anvil. Which is more similar in semantic meaning to Anvil?,Tortoise
Alligator|Axe|Saw,Answer using only one word - Axe or Saw and not Alligator. Which is more similar in semantic meaning to Alligator?,Saw
Nail|Grinding disk|Tortoise,Answer using only one word - Grinding disk or Tortoise and not Nail. Which is more similar in semantic meaning to Nail?,Tortoise.
Saw|Dinosaur|Shovel,Answer using only one word - Dinosaur or Shovel and not Saw. Which is more similar in semantic meaning to Saw?,Shovel.
Axe|Gecko|Turtle,Answer using only one word - Gecko or Turtle and not Axe. Which is more similar in semantic meaning to Axe?,Gecko
Axe|Alligator|Oil can,Answer using only one word - Alligator or Oil can and not Axe. Which is more similar in semantic meaning to Axe?,Axe.
Knife|Anvil|Paint brush,Answer using only one word - Anvil or Paint brush and not Knife. Which is more similar in semantic meaning to Knife?,Anvil
Blindworm|Lawn Mower|Lizard,Answer using only one word - Lawn Mower or Lizard and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Lizard
Chameleon|Anvil|Vacuum,Answer using only one word - Anvil or Vacuum and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Anvil
Boa python|Chisel|Grinding disk,Answer using only one word - Chisel or Grinding disk and not Boa python. Which is more similar in semantic meaning to Boa python?,Grinding disk.
Snake|Crocodile|Lawn Mower,Answer using only one word - Crocodile or Lawn Mower and not Snake. Which is more similar in semantic meaning to Snake?,Crocodile
Oil can|Caiman|Chisel,Answer using only one word - Caiman or Chisel and not Oil can. Which is more similar in semantic meaning to Oil can?,Chisel
Paint brush|Crocodile|Turtle,Answer using only one word - Crocodile or Turtle and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Paintbrush
Caiman|Gecko|Vacuum,Answer using only one word - Gecko or Vacuum and not Caiman. Which is more similar in semantic meaning to Caiman?,Gecko
Oil can|Cobra|Salamander,Answer using only one word - Cobra or Salamander and not Oil can. Which is more similar in semantic meaning to Oil can?,Cobra
Nail|Dinosaur|Toad,Answer using only one word - Dinosaur or Toad and not Nail. Which is more similar in semantic meaning to Nail?,Dinosaur
Salamander|Blindworm|Hammer,Answer using only one word - Blindworm or Hammer and not Salamander. Which is more similar in semantic meaning to Salamander?,Blindworm
Oil can|Alligator|Paint brush,Answer using only one word - Alligator or Paint brush and not Oil can. Which is more similar in semantic meaning to Oil can?,Paint brush
Hammer|Oil can|Snake,Answer using only one word - Oil can or Snake and not Hammer. Which is more similar in semantic meaning to Hammer?,Hammer
Vacuum|Boa python|Shovel,Answer using only one word - Boa python or Shovel and not Vacuum. Which is more similar in semantic meaning to Vacuum?,Shovel
Dinosaur|Chisel|Paint brush,Answer using only one word - Chisel or Paint brush and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Dinosaur
Turtle|Axe|Hammer,Answer using only one word - Axe or Hammer and not Turtle. Which is more similar in semantic meaning to Turtle?,Hammer
Oil can|Cobra|Grinding disk,Answer using only one word - Cobra or Grinding disk and not Oil can. Which is more similar in semantic meaning to Oil can?,Grinding disk.
Nail|Anvil|Chisel,Answer using only one word - Anvil or Chisel and not Nail. Which is more similar in semantic meaning to Nail?,Chisel
Hammer|Blindworm|Toad,Answer using only one word - Blindworm or Toad and not Hammer. Which is more similar in semantic meaning to Hammer?,Toad
Toad|Blindworm|Cobra,Answer using only one word - Blindworm or Cobra and not Toad. Which is more similar in semantic meaning to Toad?,Blindworm
Salamander|Snake|Turtle,Answer using only one word - Snake or Turtle and not Salamander. Which is more similar in semantic meaning to Salamander?,Salamander
Saw|Anvil|Snake,Answer using only one word - Anvil or Snake and not Saw. Which is more similar in semantic meaning to Saw?,Anvil
Chameleon|Blindworm|Boa python,Answer using only one word - Blindworm or Boa python and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Boa python
Crocodile|Dinosaur|Vacuum,Answer using only one word - Dinosaur or Vacuum and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Crocodile.
Hammer|Alligator|Nail,Answer using only one word - Alligator or Nail and not Hammer. Which is more similar in semantic meaning to Hammer?,Hammer.
Snake|Spanner|Vacuum,Answer using only one word - Spanner or Vacuum and not Snake. Which is more similar in semantic meaning to Snake?,Snake
Anvil|Chameleon|Dinosaur,Answer using only one word - Chameleon or Dinosaur and not Anvil. Which is more similar in semantic meaning to Anvil?,Dinosaur
Tortoise|Hammer|Screwdriver,Answer using only one word - Hammer or Screwdriver and not Tortoise. Which is more similar in semantic meaning to Tortoise?,Screwdriver
Chisel|Salamander|Screwdriver,Answer using only one word - Salamander or Screwdriver and not Chisel. Which is more similar in semantic meaning to Chisel?,Screwdriver
Spanner|Saw|Screwdriver,Answer using only one word - Saw or Screwdriver and not Spanner. Which is more similar in semantic meaning to Spanner?,Screwdriver
Shovel|Knife|Oil can,Answer using only one word - Knife or Oil can and not Shovel. Which is more similar in semantic meaning to Shovel?,Shovel.
Shovel|Blindworm|Gecko,Answer using only one word - Blindworm or Gecko and not Shovel. Which is more similar in semantic meaning to Shovel?,Gecko
Spanner|Caiman|Screwdriver,Answer using only one word - Caiman or Screwdriver and not Spanner. Which is more similar in semantic meaning to Spanner?,Caiman
Paint brush|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Caiman
Anvil|Alligator|Boa python,Answer using only one word - Alligator or Boa python and not Anvil. Which is more similar in semantic meaning to Anvil?,Boa python.
Boa python|Hammer|Toad,Answer using only one word - Hammer or Toad and not Boa python. Which is more similar in semantic meaning to Boa python?,Toad
Gecko|Shovel|Tortoise,Answer using only one word - Shovel or Tortoise and not Gecko. Which is more similar in semantic meaning to Gecko?,Tortoise
Nail|Crocodile|Spanner,Answer using only one word - Crocodile or Spanner and not Nail. Which is more similar in semantic meaning to Nail?,Crocodile
Crocodile|Shovel|Snake,Answer using only one word - Shovel or Snake and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Snake
Turtle|Snake|Vacuum,Answer using only one word - Snake or Vacuum and not Turtle. Which is more similar in semantic meaning to Turtle?,Turtle.
Gecko|Hammer|Oil can,Answer using only one word - Hammer or Oil can and not Gecko. Which is more similar in semantic meaning to Gecko?,Gecko.
Blindworm|Gecko|Nail,Answer using only one word - Gecko or Nail and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Gecko
Anvil|Paint brush|Salamander,Answer using only one word - Paint brush or Salamander and not Anvil. Which is more similar in semantic meaning to Anvil?,Salamander
Snake|Anvil|Lawn Mower,Answer using only one word - Anvil or Lawn Mower and not Snake. Which is more similar in semantic meaning to Snake?,Snake
Screwdriver|Blindworm|Grinding disk,Answer using only one word - Blindworm or Grinding disk and not Screwdriver. Which is more similar in semantic meaning to Screwdriver?,Screwdriver
Boa python|Caiman|Chameleon,Answer using only one word - Caiman or Chameleon and not Boa python. Which is more similar in semantic meaning to Boa python?,Boa python
Gecko|Cobra|Spanner,Answer using only one word - Cobra or Spanner and not Gecko. Which is more similar in semantic meaning to Gecko?,Cobra
Chameleon|Dinosaur|Shovel,Answer using only one word - Dinosaur or Shovel and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Shovel.
Tortoise|Alligator|Lizard,Answer using only one word - Alligator or Lizard and not Tortoise. Which is more similar in semantic meaning to Tortoise?,Tortoise
Paint brush|Boa python|Caiman,Answer using only one word - Boa python or Caiman and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Caiman
Caiman|Hammer|Turtle,Answer using only one word - Hammer or Turtle and not Caiman. Which is more similar in semantic meaning to Caiman?,Turtle
